week;hospital_admission;cum_hospital_admission;deceased;cum_deceased;total_reported;cum_total_reported
1;0;0;0;0;0;0
2;0;0;0;0;0;0
3;0;0;0;0;0;0
4;0;0;0;0;0;0
5;0;0;0;0;0;0
6;0;0;0;0;0;0
7;0;0;0;0;0;0
8;0;0;0;0;0;0
9;4;4;0;0;24;24
10;57;61;4;4;453;477
11;333;394;49;53;1537;2014
12;1374;1768;295;348;4316;6330
13;3307;5075;789;1137;7130;13460
14;2555;7630;1069;2206;6890;20350
15;1412;9042;883;3089;7559;27909
16;888;9930;914;4003;6686;34595
17;670;10600;667;4670;3965;38560
18;451;11051;493;5163;2599;41159
19;321;11372;365;5528;1808;42967
20;203;11575;194;5722;1241;44208
21;75;11650;121;5843;1324;45532
22;63;11713;102;5945;967;46499
23;46;11759;68;6013;1345;47844
24;36;11795;34;6047;1100;48944
25;27;11822;24;6071;636;49580
26;22;11844;18;6089;541;50121
27;12;11856;20;6109;420;50541
28;22;11878;19;6128;583;51124
29;13;11891;8;6136;1040;52164
30;24;11915;9;6145;1397;53561
31;40;11955;7;6152;2761;56322
32;43;11998;8;6160;4241;60563
33;58;12056;20;6180;3891;64454
34;86;12142;30;6210;3588;68042
35;42;12184;21;6231;3731;71773
36;45;12229;14;6245;5815;77588
37;97;12326;14;6259;8629;86217
38;166;12492;36;6295;14216;100433
39;253;12745;110;6405;20169;120602
40;321;13066;110;6515;29031;149633
41;457;13523;143;6658;45962;195595
42;578;14101;209;6867;56841;252436
43;690;14791;324;7191;66684;319120
44;703;15494;481;7672;63376;382496
45;606;16100;527;8199;41148;423644
46;636;16736;479;8678;36719;460363
47;513;17249;410;9088;37028;497391
48;453;17702;393;9481;33772;531163
49;461;18163;332;9813;44548;575711
50;491;18654;406;10219;62821;638532
51;634;19288;492;10711;81347;719879
52;615;19903;582;11293;66217;786096
53;648;20551;684;11977;53947;840043
54;559;21110;681;12658;48243;888286
55;530;21640;569;13227;38092;926378
56;538;22178;492;13719;34711;961089
57;438;22616;439;14158;27817;988906
58;454;23070;423;14581;23788;1012694
59;462;23532;433;15014;25351;1038045
60;137;23669;124;15138;9355;1047400
